TIME,NIC:1,NIA:1,NIE:1
38.9,6.67116514,456.02147254,259.67325495
39,6.87266644,469.44977458,267.26777565
39.1,7.07993155,483.24072383,275.0641377
39.2,7.2931054,497.4020952,283.06645732
39.3,7.51233532,511.94170275,291.27885531
39.4,7.73777102,526.86739042,299.70545106
39.5,7.9695645,542.18702215,308.350356
39.6,8.20787004,557.90847121,317.21766667
39.7,8.45284408,574.03960874,326.31145729
39.8,8.70464521,590.58829149,335.63577185
39.9,8.96343404,607.56234872,345.19461573
40,9.22937312,624.96956829,354.99194674
40.1,9.50262686,642.81768171,365.03166573
40.2,9.7833614,661.11434845,375.31760655
40.3,10.07174448,679.86713916,385.85352555
40.4,10.36794535,699.08351794,396.64309042
40.5,10.67213457,718.77082365,407.68986851
40.6,10.9844839,738.93625019,418.99731457
40.7,11.30516609,759.58682564,430.56875783
40.8,11.63435475,780.72939048,442.40738853
40.9,11.9722241,802.37057461,454.51624383
41,12.3189488,824.51677334,466.89819308
41.1,12.6747037,847.17412225,479.5559225
41.2,13.03966362,870.34847097,492.49191928
41.3,13.41400308,894.0453558,505.70845504
41.4,13.79789603,918.2699713,519.20756869
41.5,14.19151557,943.02714073,532.99104873
41.6,14.59503363,968.3212854,547.06041501
41.7,15.00862068,994.156393,561.41689989
41.8,15.43244534,1020.53598489,576.06142894
41.9,15.86667406,1047.46308235,590.99460108
42,16.31147075,1074.94017193,606.21666836
42.1,16.76699634,1102.96916985,621.72751523
42.2,17.23340842,1131.55138558,637.52663751
42.3,17.71086075,1160.68748461,653.61312103
42.4,18.19950287,1190.37745056,669.98561994
42.5,18.69947959,1220.62054664,686.64233494
42.6,19.21093051,1251.41527658,703.58099129
42.7,19.73398953,1282.75934522,720.7988168
42.8,20.2687843,1314.64961873,738.29251984
42.9,20.81543569,1347.08208474,756.05826752
43,21.37405724,1380.05181242,774.09166402
43.1,21.94475457,1413.55291271,792.38772927
43.2,22.52762479,1447.57849887,810.94087812
43.3,23.1227559,1482.12064752,829.74489997
43.4,23.73022617,1517.17036034,848.79293913
43.5,24.3501035,1552.71752672,868.07747602
43.6,24.98244479,1588.75088746,887.59030923
43.7,25.62729527,1625.25799977,907.32253877
43.8,26.28468783,1662.22520397,927.26455051
43.9,26.95464241,1699.63759183,947.40600198
44,27.63716523,1737.47897714,967.73580981
44.1,28.3322482,1775.73186855,988.24213882
44.2,29.03986821,1814.377445,1008.91239296
44.3,29.75998644,1853.39553411,1029.73320842
44.4,30.49254772,1892.76459366,1050.69044876
44.5,31.23747988,1932.46169666,1071.76920259
44.6,31.99469302,1972.46251998,1092.95378365
44.7,32.76407899,2012.74133721,1114.22773368
44.8,33.54551068,2053.2710157,1135.57382808
44.9,34.33884143,2094.02301824,1156.97408455
45,35.14390451,2134.9674096,1178.40977495
45.1,35.96051249,2176.07286818,1199.86144033
45.2,36.78845678,2217.306703,1221.30890939
45.3,37.62750713,2258.63487635,1242.73132041
45.4,38.47741116,2300.02203214,1264.10714678
45.5,39.33789397,2341.43153029,1285.41422613
45.6,40.2086578,2382.82548728,1306.62979324
45.7,41.08938166,2424.16482291,1327.73051659
45.8,41.97972114,2465.40931351,1348.69253871
45.9,42.87930818,2506.51765155,1369.49152032
46,43.78775092,2547.44751176,1390.10268803
46.1,44.70463363,2588.15562366,1410.5008858
46.2,45.62951672,2628.5978506,1430.66062989
46.3,46.56193678,2668.72927505,1450.55616723
46.4,47.50140671,2708.50429011,1470.1615371
46.5,48.44741596,2747.87669701,1489.45063585
46.6,49.39943078,2786.79980838,1508.39728459
46.7,50.35689465,2825.22655704,1526.97529947
46.8,51.31922865,2863.10960989,1545.15856436
46.9,52.28583208,2900.40148658,1562.9211057
47,53.25608302,2937.0546826,1580.23716901
47.1,54.22933906,2973.02179615,1597.08129694
47.2,55.2049381,3008.25565841,1613.42840832
47.3,56.1821992,3042.70946662,1629.25387793
47.4,57.16042357,3076.33691931,1644.53361648
47.5,58.13889558,3109.09235314,1659.24415049
47.6,59.11688393,3140.93088056,1673.36270156
47.7,60.09364279,3171.80852773,1686.86726456
47.8,61.06841314,3201.6823719,1699.73668437
47.9,62.04042406,3230.51067748,1711.95073068
48,63.00889418,3258.2530302,1723.4901703
48.1,63.97303318,3284.87046844,1734.33683673
48.2,64.93204328,3310.32561108,1744.4736964
48.3,65.88512086,3334.58278108,1753.88491115
48.4,66.8314581,3357.60812417,1762.55589668
48.5,67.77024466,3379.36972174,1770.47337644
48.6,68.70066936,3399.83769743,1777.6254307
48.7,69.62192201,3418.98431674,1784.00154046
48.8,70.53319506,3436.78407899,1789.59262581
48.9,71.43368547,3453.21380108,1794.39107863
49,72.32259646,3468.25269262,1798.39078936
49.1,73.19913926,3481.8824219,1801.58716758
49.2,74.06253494,3494.08717234,1803.97715634
49.3,74.91201611,3504.85368905,1805.55924025
49.4,75.74682868,3514.1713153,1806.33344701
49.5,76.56623357,3522.03201868,1806.30134266
49.6,77.3695083,3528.43040678,1805.46602051
49.7,78.15594869,3533.36373243,1803.8320837
49.8,78.92487034,3536.83188848,1801.40562179
49.9,79.67561015,3538.83739217,1798.19418128
50,80.40752777,3539.38535937,1794.20673055
50.1,81.12000692,3538.48346874,1789.45361919
50.2,81.81245665,3536.14191636,1783.94653234
50.3,82.48431261,3532.37336095,1777.69844001
50.4,83.13503806,3527.19286024,1770.72354207
50.5,83.76412495,3520.61779891,1763.03720903
50.6,84.37109478,3512.66780865,1754.65591915
50.7,84.95549948,3503.36468085,1745.59719229
50.8,85.51692207,3492.73227262,1735.87952083
50.9,86.05497733,3480.79640665,1725.52229824
51,86.56931228,3467.58476561,1714.54574565
51.1,87.05960658,3453.12678189,1702.97083686
51.2,87.52557288,3437.45352312,1690.81922235
51.3,87.96695699,3420.5975744,1678.11315253
51.4,88.38353801,3402.59291776,1664.87540085
51.5,88.77512832,3383.47480974,1651.12918708
51.6,89.14157346,3363.2796575,1636.89810114
51.7,89.48275202,3342.04489437,1622.20602796
51.8,89.79857527,3319.80885536,1607.07707358
51.9,90.08898687,3296.61065327,1591.53549296
52,90.35396237,3272.49005599,1575.60561975
52.1,90.5935087,3247.48736556,1559.31179827
52.2,90.80766356,3221.64329951,1542.67831798
52.3,90.99649475,3194.99887491,1525.72935072
52.4,91.16009941,3167.59529572,1508.48889082
52.5,91.29860322,3139.47384363,1490.98069831
52.6,91.41215958,3110.675773,1473.22824536
52.7,91.50094863,3081.24220997,1455.25466607
52.8,91.56517633,3051.21405623,1437.08270963
52.9,91.60507347,3020.63189755,1418.73469704
53,91.62089462,2989.53591733,1400.23248129
53.1,91.6129171,2957.96581531,1381.59741106
53.2,91.58143983,2925.96073152,1362.850298
53.3,91.52678228,2893.55917562,1344.01138739
53.4,91.44928332,2860.79896158,1325.10033231
53.5,91.34930011,2827.7171478,1306.13617114
53.6,91.22720691,2794.34998254,1287.13730831
53.7,91.08339401,2760.73285477,1268.12149825
53.8,90.91826653,2726.90025013,1249.10583239
53.9,90.7322433,2692.88571212,1230.10672911
54,90.52575576,2658.72180822,1211.13992644
54.1,90.29924682,2624.44010097,1192.22047751
54.2,90.05316979,2590.0711236,1173.36274847
54.3,89.78798728,2555.64436033,1154.58041878
54.4,89.50417016,2521.18823085,1135.88648374
54.5,89.20219652,2486.73007902,1117.29325905
54.6,88.88255066,2452.29616548,1098.81238738
54.7,88.54572215,2417.91166387,1080.45484656
54.8,88.19220482,2383.60066063,1062.23095947
54.9,87.82249591,2349.38615802,1044.15040539
55,87.43709514,2315.29008012,1026.2222326
55.1,87.03650386,2281.33328173,1008.45487223
55.2,86.62122428,2247.5355598,990.85615307
55.3,86.19175862,2213.91566726,973.43331731
55.4,85.74860844,2180.49132896,956.19303712
55.5,85.29227385,2147.27925966,939.14143174
55.6,84.82325292,2114.29518368,922.28408526
55.7,84.34204095,2081.55385614,905.62606473
55.8,83.84912996,2049.06908561,889.17193868
55.9,83.34500803,2016.85375788,872.92579578
56,82.83015885,1984.91986082,856.89126374
56.1,82.30506118,1953.27851003,841.07152823
56.2,81.77018836,1921.93997532,825.46935181
56.3,81.22600795,1890.91370758,810.08709272
56.4,80.67298126,1860.20836624,794.92672365
56.5,80.11156304,1829.83184691,779.98985017
56.6,79.54220108,1799.79130933,765.27772901
56.7,78.96533597,1770.09320525,750.79128601
56.8,78.38140079,1740.74330641,736.53113371
56.9,77.79082084,1711.74673233,722.49758859
57,77.19401347,1683.10797795,708.69068792
57.1,76.59138782,1654.83094095,695.11020615
57.2,75.98334471,1626.91894876,681.75567084
57.3,75.37027643,1599.37478514,668.62637814
57.4,74.75256668,1572.20071632,655.7214078
57.5,74.13059039,1545.39851661,643.03963762
57.6,73.50471371,1518.96949348,630.57975743
57.7,72.87529389,1492.91451205,618.34028261
57.8,72.24267927,1467.23401895,606.31956694
57.9,71.60720922,1441.92806552,594.51581514
58,70.96921416,1416.9963304,582.92709469
58.1,70.32901554,1392.43814139,571.55134732
58.2,69.68692587,1368.25249663,560.38639982
58.3,69.04324873,1344.43808508,549.42997451
58.4,68.39827885,1320.99330628,538.67969913
58.5,67.75230214,1297.91628941,528.13311621
58.6,67.10559574,1275.2049116,517.78769211
