TIME,I_8:1,I_7:1,I_grad:1
61.2,7.03785908,60.21718215,62.71959433
61.3,6.96492767,59.9043478,62.06962701
61.4,6.89275203,59.59313866,61.42639534
61.5,6.82132433,59.28354626,60.78982952
61.6,6.75063681,58.97556223,60.15986048
61.7,6.68068181,58.6691782,59.53641983
61.8,6.61145173,58.36438585,58.91943995
61.9,6.54293906,58.06117693,58.30885386
62,6.47513637,57.75954319,57.70459531
62.1,6.40803631,57.45947647,57.10659874
62.2,6.34163158,57.16096862,56.51479923
62.3,6.27591499,56.86401154,55.92913259
62.4,6.2108794,56.56859718,55.34953524
62.5,6.14651775,56.27471752,54.77594429
62.6,6.08282307,55.98236458,54.20829751
62.7,6.01978844,55.69153045,53.64653328
62.8,5.95740702,55.40220721,53.09059065
62.9,5.89567204,55.11438704,52.54040929
63,5.8345768,54.82806212,51.99592949
63.1,5.77411468,54.54322467,51.45709218
63.2,5.7142791,54.25986698,50.92383886
